From	To	Species	Gene Name
ENSTGUG00000010108	100230576	Taeniopygia guttata	peptidase domain containing associated with muscle regeneration 1(PAMR1)
ENSTGUG00000008319	100218384	Taeniopygia guttata	vitamin D3 hydroxylase-associated protein(LOC100218384)
ENSTGUG00000009647	100190142	Taeniopygia guttata	ribosomal RNA processing 7 homolog A(RRP7A)
ENSTGUG00000008315	100228745	Taeniopygia guttata	nuclear receptor interacting protein 3(NRIP3)
ENSTGUG00000009646	100231792	Taeniopygia guttata	FERM domain containing 1(FRMD1)
ENSTGUG00000008316	100221452	Taeniopygia guttata	thyroid hormone receptor interactor 12(TRIP12)
ENSTGUG00000009649	100221078	Taeniopygia guttata	leucine rich repeats and calponin homology domain containing 3(LRCH3)
ENSTGUG00000008317	100222744	Taeniopygia guttata	cholesterol 25-hydroxylase(CH25H)
ENSTGUG00000008318	100219865	Taeniopygia guttata	lipase A, lysosomal acid type(LIPA)
ENSTGUG00000011963	100221445	Taeniopygia guttata	heparan sulfate-glucosamine 3-sulfotransferase 5(HS3ST5)
ENSTGUG00000009654	100231045	Taeniopygia guttata	serine hydrolase like 2(SERHL2)
ENSTGUG00000010632	100227335	Taeniopygia guttata	apoptosis inducing factor mitochondria associated 3(AIFM3)
ENSTGUG00000009653	100220233	Taeniopygia guttata	cell death inducing DFFA like effector a(CIDEA)
ENSTGUG00000010631	100224320	Taeniopygia guttata	general transcription factor IIIC subunit 3(GTF3C3)
ENSTGUG00000008323	100230788	Taeniopygia guttata	fatty-acid amide hydrolase 1(LOC100230788)
ENSTGUG00000011961	100227858	Taeniopygia guttata	mitochondrial transcription termination factor 3(MTERF3)
ENSTGUG00000009655	100228573	Taeniopygia guttata	mediator complex subunit 28(MED28)
ENSTGUG00000008325	100230380	Taeniopygia guttata	midline 1(MID1)
ENSTGUG00000009650	100225639	Taeniopygia guttata	GRIP and coiled-coil domain containing 2(GCC2)
ENSTGUG00000009652	100231449	Taeniopygia guttata	family with sequence similarity 184 member B(FAM184B)
ENSTGUG00000009651	100219976	Taeniopygia guttata	signal peptide peptidase like 3(SPPL3)
ENSTGUG00000008321	100218858	Taeniopygia guttata	galactokinase 1(GALK1)
ENSTGUG00000010639	100190339	Taeniopygia guttata	NADH:ubiquinone oxidoreductase subunit B5(NDUFB5)
ENSTGUG00000010638	100228058	Taeniopygia guttata	opsin 3(OPN3)
ENSTGUG00000011968	100227738	Taeniopygia guttata	protein only RNase P catalytic subunit(PRORP)
ENSTGUG00000010637	100227599	Taeniopygia guttata	phosphatidylinositol specific phospholipase C X domain containing 1(PLCXD1)
ENSTGUG00000011967	100218648	Taeniopygia guttata	FRAS1 related extracellular matrix 2(FREM2)
ENSTGUG00000011966	100231751	Taeniopygia guttata	phosphatidylserine synthase 1(PTDSS1)
ENSTGUG00000010635	100220023	Taeniopygia guttata	cholinergic receptor muscarinic 4(CHRM4)
ENSTGUG00000011965	100230554	Taeniopygia guttata	protein phosphatase 2 regulatory subunit B''gamma(PPP2R3C)
ENSTGUG00000010634	100230413	Taeniopygia guttata	regucalcin(LOC100230413)
ENSTGUG00000011964	100218599	Taeniopygia guttata	histone deacetylase 2(HDAC2)
ENSTGUG00000010633	100225663	Taeniopygia guttata	family with sequence similarity 53 member A(FAM53A)
ENSTGUG00000008308	100224686	Taeniopygia guttata	Rho GTPase activating protein 6(ARHGAP6)
ENSTGUG00000009639	100232823	Taeniopygia guttata	DAB adaptor protein 1(DAB1)
ENSTGUG00000008309	100221587	Taeniopygia guttata	heterogeneous nuclear ribonucleoprotein U(HNRNPU)
ENSTGUG00000009635	100225052	Taeniopygia guttata	kinesin family member 25(KIF25)
ENSTGUG00000008305	100221924	Taeniopygia guttata	ribonucleic acid export 1(RAE1)
ENSTGUG00000009638	100221278	Taeniopygia guttata	integrin subunit alpha 11(ITGA11)
ENSTGUG00000009637	100224708	Taeniopygia guttata	ubiquitin domain containing 1(UBTD1)
ENSTGUG00000008307	100218306	Taeniopygia guttata	XPC complex subunit, DNA damage recognition and repair factor(XPC)
ENSTGUG00000009643	100225534	Taeniopygia guttata	succinate-CoA ligase GDP-forming subunit beta(SUCLG2)
ENSTGUG00000008311	100231075	Taeniopygia guttata	delta/notch like EGF repeat containing(DNER)
ENSTGUG00000011951	100224105	Taeniopygia guttata	neurotrophin 3(NTF3)
ENSTGUG00000009642	100225711	Taeniopygia guttata	MMS19 homolog, cytosolic iron-sulfur assembly component(MMS19)
ENSTGUG00000010620	100229697	Taeniopygia guttata	cadherin 2(CDH2)
ENSTGUG00000008312	100224650	Taeniopygia guttata	H3 histone, family 3B(H3F3B)
ENSTGUG00000011950	100218538	Taeniopygia guttata	kinesin family member 5C(KIF5C)
ENSTGUG00000009645	100225887	Taeniopygia guttata	forty-two-three domain containing 1(FYTTD1)
ENSTGUG00000008314	100225371	Taeniopygia guttata	centrosomal protein 83(CEP83)
ENSTGUG00000009641	100229457	Taeniopygia guttata	non-SMC condensin I complex subunit G(NCAPG)
ENSTGUG00000008310	100223801	Taeniopygia guttata	ARVCF delta catenin family member(ARVCF)
ENSTGUG00000010629	105759425	Taeniopygia guttata	chromosome 7 C2orf66 homolog(C7H2orf66)
ENSTGUG00000010628	100219120	Taeniopygia guttata	autophagy and beclin 1 regulator 1(AMBRA1)
ENSTGUG00000011958	100219261	Taeniopygia guttata	cytochrome b-c1 complex subunit 7-like(LOC100219261)
ENSTGUG00000010627	100222898	Taeniopygia guttata	harbinger transposase derived 1(HARBI1)
ENSTGUG00000011957	100228210	Taeniopygia guttata	fyn related Src family tyrosine kinase(FRK)
ENSTGUG00000010626	100227664	Taeniopygia guttata	histone RNA hairpin-binding protein(LOC100227664)
ENSTGUG00000011955	101233139	Taeniopygia guttata	cilia and flagella associated protein 418(CFAP418)
ENSTGUG00000010624	100230441	Taeniopygia guttata	regucalcin(RGN)
ENSTGUG00000010623	100228530	Taeniopygia guttata	transmembrane protein 129, E3 ubiquitin ligase(TMEM129)
ENSTGUG00000010622	100219267	Taeniopygia guttata	ubiquitin specific peptidase 13(USP13)
ENSTGUG00000007006	100229413	Taeniopygia guttata	nuclear factor of activated T cells 3(NFATC3)
ENSTGUG00000009669	100228414	Taeniopygia guttata	TAFA chemokine like family member 1(TAFA1)
ENSTGUG00000008337	100218201	Taeniopygia guttata	solute carrier family 6 member 6(SLC6A6)
ENSTGUG00000007007	100231645	Taeniopygia guttata	zinc finger DHHC-type palmitoyltransferase 5(ZDHHC5)
ENSTGUG00000009668	100222845	Taeniopygia guttata	zinc finger DHHC-type palmitoyltransferase 16(ZDHHC16)
